LN_ID,ACTG_PRD_ID,LN_AMRT_AMNT,LN_AMRT_FCTR,AGG_ACCU_AMRT_AMNT,LN_UNAM_COST_BSIS_AMNT,AGG_UNAM_COST_BSIS_AMNT,OUTLIER_TYPE
normal_1,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,0
normal_1,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,0
normal_1,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,0
normal_1,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,0
normal_1,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,0
normal_1,202406,100.0,-0.1,600.0,-900.0,-900.0,0
normal_1,202407,100.0,-0.111111,700.0,-800.0,-800.0,0
normal_1,202408,100.0,-0.125,800.0,-700.0,-700.0,0
normal_1,202409,100.0,-0.142857,900.0,-600.0,-600.0,0
normal_1,202410,100.0,-0.166667,1000.0,-500.0,-500.0,0
normal_1,202411,100.0,-0.2,1100.0,-400.0,-400.0,0
normal_1,202412,100.0,-0.25,1200.0,-300.0,-300.0,0
normal_1,202501,100.0,-0.333333,1300.0,-200.0,-200.0,0
normal_1,202502,100.0,-0.5,1400.0,-100.0,-100.0,0
normal_1,202503,100.0,0.01,1500.0,0.0,0.0,0
anomaly_1_high_spike,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,1
anomaly_1_high_spike,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,1
anomaly_1_high_spike,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,1
anomaly_1_high_spike,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,1
anomaly_1_high_spike,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,1
anomaly_1_high_spike,202406,500.0,-0.1,600.0,-900.0,-900.0,1
anomaly_1_high_spike,202407,100.0,-0.111111,700.0,-800.0,-800.0,1
anomaly_1_high_spike,202408,100.0,-0.125,800.0,-700.0,-700.0,1
anomaly_1_high_spike,202409,100.0,-0.142857,900.0,-600.0,-600.0,1
anomaly_1_high_spike,202410,100.0,-0.166667,1000.0,-500.0,-500.0,1
anomaly_1_high_spike,202411,100.0,-0.2,1100.0,-400.0,-400.0,1
anomaly_1_high_spike,202412,100.0,-0.25,1200.0,-300.0,-300.0,1
anomaly_1_high_spike,202501,100.0,-0.333333,1300.0,-200.0,-200.0,1
anomaly_1_high_spike,202502,100.0,-0.5,1400.0,-100.0,-100.0,1
anomaly_1_high_spike,202503,100.0,0.01,1500.0,0.0,0.0,1
anomaly_1_low_drop,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,1
anomaly_1_low_drop,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,1
anomaly_1_low_drop,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,1
anomaly_1_low_drop,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,1
anomaly_1_low_drop,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,1
anomaly_1_low_drop,202406,20.0,-0.1,600.0,-900.0,-900.0,1
anomaly_1_low_drop,202407,100.0,-0.111111,700.0,-800.0,-800.0,1
anomaly_1_low_drop,202408,100.0,-0.125,800.0,-700.0,-700.0,1
anomaly_1_low_drop,202409,100.0,-0.142857,900.0,-600.0,-600.0,1
anomaly_1_low_drop,202410,100.0,-0.166667,1000.0,-500.0,-500.0,1
anomaly_1_low_drop,202411,100.0,-0.2,1100.0,-400.0,-400.0,1
anomaly_1_low_drop,202412,100.0,-0.25,1200.0,-300.0,-300.0,1
anomaly_1_low_drop,202501,100.0,-0.333333,1300.0,-200.0,-200.0,1
anomaly_1_low_drop,202502,100.0,-0.5,1400.0,-100.0,-100.0,1
anomaly_1_low_drop,202503,100.0,0.01,1500.0,0.0,0.0,1
anomaly_2_slowdown,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,2
anomaly_2_slowdown,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,2
anomaly_2_slowdown,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,2
anomaly_2_slowdown,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,2
anomaly_2_slowdown,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,2
anomaly_2_slowdown,202406,100.0,-0.1,600.0,-900.0,-900.0,2
anomaly_2_slowdown,202407,100.0,-0.111111,700.0,-800.0,-800.0,2
anomaly_2_slowdown,202408,100.0,-0.125,800.0,-700.0,-700.0,2
anomaly_2_slowdown,202409,10.0,-0.142857,900.0,-600.0,-600.0,2
anomaly_2_slowdown,202410,10.0,-0.166667,1000.0,-500.0,-500.0,2
anomaly_2_slowdown,202411,10.0,-0.2,1100.0,-400.0,-400.0,2
anomaly_2_slowdown,202412,10.0,-0.25,1200.0,-300.0,-300.0,2
anomaly_2_slowdown,202501,10.0,-0.333333,1300.0,-200.0,-200.0,2
anomaly_2_slowdown,202502,10.0,-0.5,1400.0,-100.0,-100.0,2
anomaly_2_slowdown,202503,10.0,0.01,1500.0,0.0,0.0,2
anomaly_2_speedup,202401,100.0,-0.066667,100.0,-1400.0,-1400.0,2
anomaly_2_speedup,202402,100.0,-0.071429,200.0,-1300.0,-1300.0,2
anomaly_2_speedup,202403,100.0,-0.076923,300.0,-1200.0,-1200.0,2
anomaly_2_speedup,202404,100.0,-0.083333,400.0,-1100.0,-1100.0,2
anomaly_2_speedup,202405,100.0,-0.090909,500.0,-1000.0,-1000.0,2
anomaly_2_speedup,202406,100.0,-0.1,600.0,-900.0,-900.0,2
anomaly_2_speedup,202407,100.0,-0.111111,700.0,-800.0,-800.0,2
anomaly_2_speedup,202408,100.0,-0.125,800.0,-700.0,-700.0,2
anomaly_2_speedup,202409,300.0,-0.142857,900.0,-600.0,-600.0,2
anomaly_2_speedup,202410,300.0,-0.166667,1000.0,-500.0,-500.0,2
anomaly_2_speedup,202411,300.0,-0.2,1100.0,-400.0,-400.0,2
anomaly_2_speedup,202412,300.0,-0.25,1200.0,-300.0,-300.0,2
anomaly_2_speedup,202501,300.0,-0.333333,1300.0,-200.0,-200.0,2
anomaly_2_speedup,202502,300.0,-0.5,1400.0,-100.0,-100.0,2
